oligos_id,total_per_sample
1202A..pool720,38454
1202B..pool726,91048
1202C..pool726,56790
1202D..pool726,124728
1202E..pool726,118426
1202F..pool726,88224
1202G..pool726,82528
1202H..pool726,83178
1202I..pool726,44878
1202J..pool726,56912
1202K..pool726,101460
1202L..pool726,109276
1202O..pool726,64972
1202P..pool720,44468
1202Q..pool720,51672
1202R..pool726,99628
1202S..pool720,43042
1202T..pool726,85940
1202U..pool686,161626
1202V..pool686,94100
1202W..pool686,78176
1203A..pool720,64970
1207A..pool712,285726
1207AA..pool657,47688
1207B..pool712,364848
1207BB..pool657,55698
1207C..pool712,359222
1207CC..pool657,50960
1207D..pool712,229022
1207E..pool712,488526
1207F..pool726,77084
1207G..pool712,551288
1207H..pool656,120768
1207J..pool712,350992
1207K..pool712,429174
1207M..pool656,96104
1207N..pool712,251294
1207O..pool656,166370
1207Q..pool656,80474
1207R..pool656,70414
1207S..pool657,110036
1207V..pool657,70878
1207W..pool712,211174
1207X..pool712,311682
1207Y..pool657,61908
1207Z..pool657,61594
1208A..pool726,44624
1208B..pool726,127842
1208C..pool726,79644
1208D..pool720,36520
1209A..pool726,99058
1209B..pool726,91112
1209C..pool726,50942
1209D..pool726,75924
1209E..pool726,89026
1209F..pool726,88750
